date,disconnected_anchors,failing_measurements_to_connected_anchors,succeeding_measurements_to_connected_anchors,failing_measurements_to_nonconnected_anchors,measurements_to_unknown_anchors
2025-06-22 00:00:00+00:00,229,25,22,86,0
2025-06-22 00:00:00+00:00,230,24,22,86,0
2025-06-22 00:00:00+00:00,229,39,12,84,0
2025-06-22 00:00:00+00:00,229,24,22,86,0
